time,symbol,price,Last digit,price_delta,step_volatility,next_digit,h3_signal,target_digit,correct_prediction
1786205552,R_100,595.31,1,-0.13000000000010914,0.1359901957250156,5,1,3,0
1786205562,R_100,595.23,3,-0.13999999999998636,0.14043187355833642,9,1,3,0
1786205564,R_100,595.09,9,-0.13999999999998636,0.1426105808759335,6,1,3,0
1786205570,R_100,594.88,8,-0.2300000000000182,0.09651712571124257,1,1,3,0
1786205574,R_100,594.8,0,-0.21000000000003638,0.11900046685250015,5,1,3,0
1786205602,R_100,594.87,7,-0.22000000000002728,0.13638589044000538,0,1,3,0
1786205640,R_100,595.66,6,-0.12000000000000455,0.1432519148601878,5,1,3,0
1786205658,R_100,595.29,9,-0.15000000000009095,0.11327939893124865,2,1,3,0
1786205680,R_100,596.02,2,-0.13999999999998636,0.10519822558705638,1,1,3,0
1786205682,R_100,595.91,1,-0.11000000000001364,0.11916841490558565,9,1,3,0
1786205728,R_100,598.2,0,-0.14999999999997726,0.12851286144021273,0,1,3,0
1786205736,R_100,598.25,5,-0.16999999999995907,0.1415823278363105,7,1,3,0
1786205758,R_100,598.17,7,-0.17000000000007276,0.1310640216756009,5,1,3,0
1786205812,R_100,597.86,6,-0.22000000000002728,0.13451146171734749,9,1,3,0
1786205826,R_100,597.85,5,-0.15999999999996817,0.10562512327409815,1,1,3,0
1786205862,R_100,597.22,2,-0.10000000000002274,0.12385026802106297,1,1,3,0
1786205864,R_100,597.01,1,-0.21000000000003638,0.13846780612595538,9,1,3,0
1786205866,R_100,596.89,9,-0.12000000000000455,0.11614645926589784,6,1,3,0
1786205884,R_100,596.89,9,-0.21000000000003638,0.11103552984921856,6,1,3,0
1786205886,R_100,596.76,6,-0.12999999999999545,0.11215564581819534,2,1,3,0
1786205972,R_100,596.96,6,-0.14999999999997726,0.09055998625833027,6,1,3,0
1786205986,R_100,596.73,3,-0.15999999999996817,0.0868267751841901,5,1,3,0
1786205988,R_100,596.45,5,-0.2799999999999727,0.1162373051610679,7,1,3,0
1786205992,R_100,596.22,2,-0.14999999999997726,0.10834102536792081,6,1,3,0
1786205996,R_100,596.01,1,-0.14999999999997726,0.08999382694877629,0,1,3,0
1786205998,R_100,595.7,0,-0.30999999999994543,0.09475699915510953,8,1,3,0
1786206000,R_100,595.58,8,-0.12000000000000455,0.08745792639254385,3,1,3,1
1786206004,R_100,595.51,1,-0.12000000000000455,0.10325803708290925,8,1,3,0
1786206008,R_100,595.37,7,-0.11000000000001364,0.09354737361949943,9,1,3,0
1786206012,R_100,595.22,2,-0.16999999999995907,0.10317191693692107,5,1,3,0
1786206022,R_100,595.14,4,-0.22000000000002728,0.12059574342957537,4,1,3,0
1786206026,R_100,595.13,3,-0.11000000000001364,0.12886254520051596,3,1,3,1
1786206034,R_100,595.09,9,-0.18999999999994088,0.1368048082325776,6,1,3,0
1786206048,R_100,595.32,2,-0.13999999999998636,0.1061916506447864,0,1,3,0
1786206052,R_100,595.1,0,-0.1999999999999318,0.12117938952000569,6,1,3,0
1786206082,R_100,595.37,7,-0.12000000000000455,0.10447753612885498,1,1,3,0
1786206084,R_100,595.21,1,-0.15999999999996817,0.10822302075908814,5,1,3,0
1786206088,R_100,595.22,2,-0.12999999999999545,0.11717034133639384,2,1,3,0
1786206090,R_100,595.12,2,-0.10000000000002274,0.09746224340168412,5,1,3,0
1786206094,R_100,595.02,2,-0.12999999999999545,0.10422198531126525,7,1,3,0
1786206130,R_100,595.46,6,-0.2099999999999227,0.11489608831940926,3,1,3,1
1786206134,R_100,595.41,1,-0.12000000000000455,0.11360751148870982,7,1,3,0
1786206162,R_100,595.72,2,-0.17999999999994998,0.10788883167408075,4,1,3,0
1786206166,R_100,595.71,1,-0.12999999999999545,0.12247902314726945,5,1,3,0
1786206168,R_100,595.55,5,-0.16000000000008185,0.1320143089887576,3,1,3,1
1786206172,R_100,595.42,2,-0.11000000000001364,0.12973905434457075,7,1,3,0
1786206184,R_100,595.51,1,-0.11000000000001364,0.09695932709707727,3,1,3,1
1786206206,R_100,596.03,3,-0.13999999999998636,0.10614455552059235,2,1,3,0
1786206232,R_100,596.34,4,-0.2400000000000091,0.12771931029495345,3,1,3,1
1786206248,R_100,595.72,2,-0.25,0.14142135623732738,1,1,3,0
1786206250,R_100,595.61,1,-0.11000000000001364,0.13266917920570065,7,1,3,0
1786206276,R_100,596.05,5,-0.2300000000000182,0.13674388062684006,1,1,3,0
1786206278,R_100,595.91,1,-0.13999999999998636,0.14200547720265844,1,1,3,0
1786206324,R_100,596.89,9,-0.12000000000000455,0.08569325138731845,7,1,3,0
1786206334,R_100,597.17,7,-0.12000000000000455,0.10254538290706688,5,1,3,0
1786206336,R_100,596.95,5,-0.2199999999999136,0.13004700005082556,4,1,3,0
1786206340,R_100,596.92,2,-0.12000000000000455,0.13408537910183818,5,1,3,0
1786206348,R_100,596.93,3,-0.18000000000006366,0.13333333333332012,0,1,3,0
1786206352,R_100,596.78,8,-0.12000000000000455,0.12050357302216647,4,1,3,0
1786206384,R_100,597.16,6,-0.21000000000003638,0.1225833050079162,4,1,3,0
1786206386,R_100,597.04,4,-0.12000000000000455,0.12605554331324142,0,1,3,0
1786206392,R_100,596.97,7,-0.12999999999999545,0.13492384683384656,2,1,3,0
1786206452,R_100,597.7,0,-0.12999999999999545,0.1398610421493873,5,1,3,0
1786206482,R_100,598.71,1,-0.2300000000000182,0.1313011804973611,2,1,3,0
1786206488,R_100,598.58,8,-0.13999999999998636,0.12798003316491358,9,1,3,0
1786206492,R_100,598.39,9,-0.3000000000000682,0.1376953158244911,8,1,3,0
1786206494,R_100,598.28,8,-0.11000000000001364,0.12717442090821207,5,1,3,0
1786206512,R_100,598.57,7,-0.17999999999994998,0.11573917035970377,6,1,3,0
1786206518,R_100,598.75,5,-0.16999999999995907,0.13902837440206617,0,1,3,0
1786206540,R_100,598.93,3,-0.16000000000008185,0.14220876672460792,6,1,3,0
1786206582,R_100,599.7,0,-0.18999999999994088,0.12631530214328368,3,1,3,1
1786206596,R_100,600.11,1,-0.10000000000002274,0.11471704319759017,7,1,3,0
1786206610,R_100,600.42,2,-0.18000000000006366,0.1224563414264952,3,1,3,1
1786206614,R_100,600.13,3,-0.20000000000004547,0.14420664185661583,3,1,3,1
1786206620,R_100,599.8,0,-0.12999999999999545,0.13275290329533124,5,1,3,0
1786206646,R_100,599.52,2,-0.12000000000000455,0.13420134127495092,0,1,3,0
1786206656,R_100,599.51,1,-0.12999999999999545,0.09371943946338468,9,1,3,0
1786206658,R_100,599.29,9,-0.22000000000002728,0.11596934460834032,9,1,3,0
1786206682,R_100,598.79,9,-0.10000000000002274,0.1156094959575499,7,1,3,0
1786206692,R_100,599.19,9,-0.11999999999989086,0.12404748194855487,2,1,3,0
1786206706,R_100,598.88,8,-0.12000000000000455,0.1014834414516998,7,1,3,0
1786206710,R_100,599.05,5,-0.12000000000000455,0.12885823390236728,2,1,3,0
1786206712,R_100,598.92,2,-0.12999999999999545,0.12970479302372845,4,1,3,0
1786206740,R_100,600.47,7,-0.10000000000002274,0.14024185458621855,4,1,3,0
1786206760,R_100,599.99,9,-0.12000000000000455,0.12072006185112999,5,1,3,0
1786206766,R_100,600.0,0,-0.22000000000002728,0.11992590304945495,9,1,3,0
1786206768,R_100,599.89,9,-0.11000000000001364,0.12347289401144305,2,1,3,0
